Go.	가.
Tom is acting strange, isn't he?	톰은 이상하게 굴고 있지?
Tom is getting better at French.	톰은 프랑스어가 점점 좋아지고 있다.
Tom is likely to make a mistake.	톰이 실수를 할 것 같아.
Tom is the strongest man I know.	톰은 내가 알고 있는 가장 강한 사람이야.
Tom kicked the ball really hard.	톰은 정말 세게 공을 찼다.
Tom kicked the ball really hard.	톰은 정말 세게 공을 찼습니다.
Tom knows that we can't do that.	톰은 우리가 저건 할 수 없다는 것을 알고 있어.
Tom learned to swim last summer.	톰은 지난 여름에 수영하는 법을 배웠어.
Tom left us some food and water.	톰은 우리에게 약간의 음식과 물을 남겨주었다.
Tom lives somewhere around here.	톰은 여기 어딘가에 산다.
Tom looked like he was confused.	톰은 혼란스러워하는 것처럼 보였어.
Tom put his shirt on inside out.	톰이 셔츠를 뒤집어 입었어.
Tom really made me feel at home.	톰은 내가 마치 집에 있는 것처럼 편안하게 해주었어.
Tom really wants to lose weight.	톰은 정말 살을 빼고 싶어해.
Tom said that Mary was autistic.	톰이 말하길 메리가 자폐증이래.
Tom spent more money than usual.	톰은 평소보다 돈을 많이 썼다더라.
Tom wants to learn how to shoot.	톰은 총 쏘는 법을 배우고 싶어 해.
Tom wasn't here when I got here.	내가 여기 왔을 때는 톰이 없었어.
Tom wasn't in when I dropped by.	톰은 내가 들렸을 때 없었다.
Tom wore jeans and a cowboy hat.	톰은 청바지를 입고 카우보이 모자를 썼어.
Unemployment is a major problem.	실업은 주요한 문제야.
We'll need a lot more than this.	우리는 이것보다 더 많이 필요할거야
What in the world happened here?	세상에 여기서 무슨 일이 일어난 거지?
What time are you going to work?	몇시에 일하러 가?
Where did you spend your summer?	여름방학을 어디서 보내셨어요?
Which group do you want to join?	너는 어느 그룹에 들어가고 싶어?
Why didn't you go to the police?	왜 경찰서에 가지 않았어?
Would you mind if I take a look?	내가 살펴봐도 괜찮아?
You should've done that with us.	우리랑 같이 했어야지.
Actually, we don't have a choice.	사실 우리는 선택의 여지가 없다
Actually, we don't have a choice.	사실상 우리는 다른 방법이 없다
Are you going to school tomorrow?	내일 학교에 갈 거야?
Could I borrow your car tomorrow?	내가 내일 네 자동차를 빌릴 수 있을까?
Doing that doesn't look too hard.	별로 어려워 보이지 않는 일입니다.
Don't you feel the house shaking?	집이 흔들리는거 같지 않아?
English is not my first language.	영어는 내 첫 번째 언어가 아니야.
Have you ever been to Disneyland?	디즈니랜드에 가본 적 있어?
Have you ever been to Tom's home?	톰 집에 가본 적 있어?
Have you ever studied archeology?	고고학을 공부해 본 적 있어?
He went on walking for two hours.	그는 두 시간 동안 더 걸었다.
I don't really have a preference.	난 딱히 선호하는 건 없어.
I don't think it's a big problem.	이게 큰 문제일 것 같진 않은데.
I don't translate novels anymore.	나는 소설 번역은 더 이상 안할 거야.
I guess I'm just a little sleepy.	그냥 조금 졸린 것 같아.
I had to work overtime yesterday.	나는 어제 야근을 해야 했어.
I hadn't seen Tom in three years.	지난 3년동안 톰을 보지 못했었어요.
I have time to do that this week.	나는 이번주에 저걸 할 시간이 있어.
I knew a shortcut to Tom's house.	난 톰 집의 지름길을 알고 있었어.
I know I can count on all of you.	나는 내가 너희 모두를 믿을 수 있다는 것을 안다.
I know a lot about this computer.	난 이 컴퓨터에 대해 많은 것을 알고있어.
I later regretted that decision..	나는 그 결정을 나중에서야 후회했어.
I really don't want to miss that.	나는 정말로 그것을 놓치고 싶지 않다.
I think Tom is alone in his room.	톰은 혼자 자기 방에 있을 것 같아.
I think everyone did really well.	다들 정말 잘 한 것 같아.
I think everyone did really well.	모두들 정말 잘한 것 같아.
I think everyone did really well.	모두들 진짜 잘한 것 같아.
I think everyone did really well.	다들 진짜로 잘 한 것 같아.
I think it's definitely worth it.	이건 확실히 가치 있는 것 같아.
I think that Tom is a workaholic.	톰은 일 중독자인 것 같아.
I think that Tom knows something.	톰이 뭔가를 알고 있는 것 같아.
I think we need to call a doctor.	우린 의사를 불러야할 것 같아.
I told Tom to buy a new computer.	난 톰한테 새 컴퓨터를 사라고 말했어.
I want a single room if possible.	되도록 일인실이면 좋겠어.
I want to learn to defend myself.	나는 내 자신을 방어하는 법을 배우고 싶어.
I won't tell anyone if you don't.	네가 하지 않는다면 아무한테도 얘기하지 않을게.
I'll stay here till you get back.	나는 네가 돌아올 때까지 여기에 있을 것이다.
I'm feeling really confident now.	난 지금 자신감에 넘치고 있어.
I'm going to Australia next year.	나는 내년에 호주에 간다.
I'm happy we're working together.	같이 일할 수 있어서 행복해.
I'm not able to fix the computer.	난 컴퓨터를 고치는 것은 불가능해.
I'm sorry to bother you so often.	자꾸 귀찮게 해서 미안해.
I'm the only one who can do that.	내가 그걸 할 수 있는 유일한 사람이군.
I'm the only person who did that.	내가 그걸 한 유일한 사람이야.
If I were you, I'd call a doctor.	내가 만약 너라면 의사를 부를 텐데.
It looks like it's going to rain.	비가 올 것 같네요.
It's beautiful weather, isn't it?	날씨 좋지 않아?
It's true Tom is a strict father.	톰이 엄격한 아빠라는 건 사실이야.
Let's hear the rest of the story.	이야기를 마저 들어보자.
Let's hear the rest of the story.	이야기를 마저 들어 봅시다.
Mary is the richest woman I know.	메리는 내가 아는 선에서 가장 부자야.
Most people think that I'm crazy.	대부분의 사람들은 내가 미쳤다고 생각해
My daughter is still quite young.	내 딸은 아직 꽤 어려.
My dogs killed one of Tom's cats.	내 강아지들은 톰이 키우는 고양이 중 한 마리를 죽였어.
My friend works at a supermarket.	내 친구는 슈퍼마켓에서 일해.
My reputation has been destroyed.	내 평판은 파탄났어.
Neither Tom nor Mary was injured.	톰도 메리도 안 다쳤어.
Some animals are active at night.	어떤 동물들은 야행성이야.
Sorry, but you can't go in there.	미안한데, 거기 들어오면 안 돼.
The cat lay hidden in the bushes.	고양이가 덤불 속에 숨어 있었어.
The cause of the fire is unknown.	화재의 원인은 알려지지 않았어.
The police think Tom acted alone.	경찰은 톰이 혼자인 척 했다고 생각하고 있어.
The water flows under the bridge.	물은 다리 밑으로 흐르고 있어.
There are four seasons in a year.	일 년에는 사계절이 있어.
This isn't our final destination.	이게 우리의 최종 목표가 아니야.
This isn't our final destination.	이게 우리의 최종 목표가 아냐.
This isn't our final destination.	이건 우리의 최종 목표가 아냐.
To tell the truth, I felt lonely.	실은 나 외로웠어.
Tom and Mary are close relatives.	톰과 메리는 가까운 친척이야.
Tom couldn't hold back his anger.	톰은 화를 참을 수 없었다.
Tom doesn't believe in evolution.	톰은 진화론을 믿지 않아.
Tom has an addictive personality.	톰은 중독 성향이 있어.
Tom has been bitten by his horse.	톰은 자기 말한테 물렸어.
Tom has been sleeping in his car.	톰은 자기 차에서 자고 있었어.
Tom has been trying to help Mary.	톰은 메리를 도우려고 애써왔다.
Tom is going to be there tonight.	톰은 오늘밤 거기 있을 거야.
Tom is just getting used to this.	톰은 이것에 익숙하다.
Tom is no longer able to do that.	톰은 더이상 그것을 할 수 없어
Tom is the fattest person I know.	톰은 내가 알고 있는 선에서 가장 뚱뚱한 사람이야.
Tom seems like a really nice guy.	톰은 정말 좋은 남자처럼 보인다.
Tom sees this in a different way.	톰은 이것을 다른 방식으로 본다.
Tom was wearing a ridiculous hat.	톰은 멍청한 모자를 쓰고 있었다.
Tom was wearing a ridiculous hat.	톰은 멍청한 모자를 쓰고 있었어.
Tom works for the United Nations.	톰은 공무원이야.
We have many varieties of coffee.	우리는 다양한 종류의 커피를 구비하고 있어.
We need to make some adjustments.	우린 좀 적응을 해야겠어.
We solved that problem in a week.	우리는 그 문제를 일주일 안에 해결했다.
What was the matter this morning?	아침에 무슨 일이 있었니?
What's the best way to get there?	거기에 갈 수 있는 가장 좋은 방법이 뭐야?
Where in the world have you been?	세상에 너 어디에 있었니?
Who would do something like this?	누가 저런 걸 하겠어?
Why does Tom hate Boston so much?	왜 톰은 보스턴을 그렇게나 싫어해?
Why is Tom afraid to go to sleep?	왜 톰은 자는 것을 두려워할까?
Would you like to try doing that?	그걸 시도해보고 싶니?
You can't imagine how busy I was.	내가 얼마나 바빴는지 상상도 못 할 걸?
"Horses" is the plural of "horse."	"말들"은 "말"의 복수형이야.
All of my software is open source.	내 소프트웨어들은 전부 오픈 소스야.
Are you doing what you want to do?	네가 하고 싶은 걸 하고 있어?
Are you just going to stand there?	너 거기 그냥 서있을 거야?
Can the matter wait till tomorrow?	그 일은 내일 해도 돼?
Can you help me for just a minute?	1분만 도와주시겠어요?
Can you tell where this road goes?	이 길이 어디로 가는지 알려 줄래?
Can your mother speak French, too?	어머님도 프랑스어 하셔?
Could anyone tell me where Tom is?	톰이 어디있는지 알려줄 사람 있을까?
Could you tell me what that means?	그게 뭘 의미하는 건지 말해줄 수 있을까?
Do you really think I can do this?	너 내가 그걸 할 수 있다고 진짜로 생각해?
Don't act like you're so innocent.	너 그렇게 순수한 척 하지 마.
Eradicating malaria won't be easy.	말라리아를 근절하는 것은 쉽지 않을 것이다.
Eradicating malaria won't be easy.	말라리아를 뿌리뽑는 건 쉽지 않을 거야.
Every country has its own history.	어떤 나라든 역사가 있다.
Everybody is equal before the law.	법 이전에 모두는 평등해.
Have you ever really been in love?	정말 한번이라도 사랑에 빠진 적 있어?
He said there was no life on Mars.	그는 화성에는 생명이 없다고 말했다.
He was at the bottom of the class.	그는 반에서 꼴찌였습니다.
He was at the bottom of the class.	걔는 반에서 꼴찌였어.
Human beings are social creatures.	인간이란 사회적인 동물이야.
I always do that when I'm nervous.	난 불안할 때 항상 그걸 해.
I assure you that isn't necessary.	저건 필요 없다니까.
I can't imagine a day without you.	네가 없는 날이란 상상도 못 하겠어.
I don't believe Tom is a murderer.	난 톰이 살인자라고 믿지 않아.
I don't like sitting on the floor.	난 바닥에 앉는 건 별로야.
I don't think that this is a fake.	이게 가짜같진 않은데.
I had a very bad dream last night.	난 어젯밤 아주 나쁜 꿈을 꿨어.
I hope you tore up my last letter.	내 마지막 편지는 찢어 버렸길 바란다.
I like eating fruit for breakfast.	나는 아침으로 과일을 먹는 것을 좋아합니다.
I like learning ancient languages.	난 고대 언어를 배우는 걸 좋아해.
I never should've gotten divorced.	난 절대 이혼하지 말았어야 했는데.
I really appreciate all your help.	도와 주셔서 아주 고맙습니다.
I recommend that you learn French.	프랑스어를 배우는 걸 추천해.
I think that Tom is distinguished.	나는 톰이 뛰어나다고 생각한다.
I think that Tom missed the train.	톰이 기차를 놓친 것 같아.
I want to learn Chinese next year.	나는 내년에 중국어를 배우고 싶다.
I was late, so I missed my flight.	내가 늦었기 때문에 비행기를 놓쳤어.
I was late, so I missed my flight.	내가 늦어서 비행기를 놓쳤어.
I wonder if Tom is as old as Mary.	톰이 메리와 나이가 같은지 궁금하네.
I would like to visit South Korea.	저는 한국을 방문하고 싶어요.
I'd like to volunteer my services.	봉사활동을 하고 싶습니다.
I'm beginning to forget my French.	난 프랑스어를 잊어버리기 시작했어.
I'm just telling you what I heard.	나는 내가 들은 걸 너에게 말해주는 것뿐이다.
I'm sorry, but I don't understand.	죄송하지만, 무슨 말인지 모르겠어요.
I'm sorry, but I don't understand.	죄송하지만, 이해하지 못하겠어요.
I'm sorry, but I don't understand.	미안하지만, 모르겠어.
I'm sure Tom is going to be there.	톰은 거기에 갈 거라고 확신해.
I've never played tennis with Tom.	난 톰이랑 테니스 쳐 본 적이 없어.
Is the Orient too foreign for you?	동양은 너에게 있어서 너무 이질적이니?
Is your apartment well maintained?	네 아파트는 잘 유지되고 있니?
Lack of sleep is bad for the body.	수면 부족은 몸에 나빠.
Last year there was a lot of snow.	작년에 눈이 엄청 내렸어.
Learning languages is interesting.	언어를 배우는 것은 재미있다.
Let's melt cheese on the potatoes.	감자에 치즈를 녹이자.
My ideas are different from yours.	제 생각은 당신과 다릅니다.
My ideas are different from yours.	내 생각은 너와 달라.
Nevertheless, I'm extremely proud.	아무리 그렇다 하더라도 난 매우 자랑스러워.
Nothing could sway his conviction.	그 어떤 것도 그의 신념을 꺾을 수 없었다.
Police are trained to use weapons.	경찰은 총을 쓸 수 있도록 훈련받았어.
Several other people were wounded.	어떤 사람들은 부상 당했어.
She cannot have done such a thing.	그녀가 그런 일을 했을 리가 없다.
She drinks a little wine at times.	걔는 가끔 와인을 좀 마셔.
Silence is a very powerful weapon.	침묵은 아주 강력한 무기야.
Snakes are cold-blooded creatures.	뱀들은 냉혈동물이다.
Some people are afraid of spiders.	몇몇 사람들은 거미를 무서워해.
Sorry, I didn't mean to scare you.	미안해, 겁줄 생각은 아니었어.
That will cost you a lot of money.	아주 많은 돈이 들 거야.
The room is crawling with spiders.	방에는 거미들이 기어다니고 있어.
The sun is brighter than the moon.	태양은 달보다 더 밝아.
There is little water in the pond.	연못에 물이 거의 없어.
There is no limit to human desire.	인간의 욕구는 끝이 없어.
They asked Tom to play the guitar.	톰보고 기타를 쳐달라고 부탁했어.
This restroom's toilet is clogged.	이 화장실의 변기는 막혔어요.
Tom and Mary are in the same boat.	톰과 마리는 같은 배를 탔다.
Tom barged through the front door.	톰은 현관문을 밀치며 나아갔다.
Tom doesn't know why I'm here yet.	톰은 제가 왜 여기 있는지 아직 모릅니다.
Tom don't care how crazy he looks.	톰은 자기가 얼마나 미쳐보이는지 신경 안 써.
Tom gave me both money and advice.	톰은 나한테 돈도 주고 조언도 해줬어.
Tom has something to do right now.	톰은 당장 할일이 있어.
Tom is better at French than I am.	톰이 나보다 프랑스어 잘해.
Tom is not an idle boy any longer.	톰은 이제는 게으른 소년이 아니다.
Tom is probably going to be there.	톰은 아마 거기 갈 거야.
Tom is probably going to be there.	톰은 아마도 거기에 갈 거야.
Tom is relatively fit and healthy.	톰이 상대적으로 가장 알맞고 건강하다.
Tom learned a few words in French.	톰은 프랑스어를 몇 마디 배웠어.
Tom said he wanted to go swimming.	톰이 수영하러 간다고 말했어.
Tom thinks Mary wasn't having fun.	톰은 메리가 재미없다고 생각한다.
Tom thinks it's a ridiculous idea.	톰은 이걸 한심한 아이디어라고 생각해.
Tom told us not to make any noise.	소음을 내지 말라고 톰이 우리한테 말했어.
Tom was in the center of the room.	톰은 방 한가운데 있었다.
Tom's explanation was too complex.	톰은 너무 복잡하게 설명해.
We can do this without Tom's help.	우리는 톰의 도움없이 이것을 할 수 있다.
We know what Tom is going through.	우리는 톰이 겪고있는 것을 알고 있다.
We studied French for three years.	우린 3년동안 프랑스어를 공부했어.
We're having a barbeque on Sunday.	우리는 일요일에 바베큐 먹을거야
What happened to all those people?	저기 단체로 무슨 일이야?
Where did you learn to make pizza?	피자 만드는 법을 어디서 배웠어?
Who's your favorite tennis player?	어떤 테니스 선수가 가장 좋아?
Would you like to invite a friend?	친구를 초대해줄래?
You need to talk to Tom in person.	넌 톰한테 직접 대화할 필요가 있어.
You should've gone to Tom's party.	톰 파티에 갔었어야지.
You used to work here, didn't you?	너 한때 여기서 일했었지?
You'll soon get used to the noise.	넌 곧 소음에 익숙해질거야.
You're overqualified for this job.	이 일을 하기에는 너무 고급 인력인데.
You're responsible for everything.	너는 모든 것에 책임이 있어.
You're the last hope for humanity.	넌 인류의 마지막 희망이야.
Your advice has been very helpful.	네 조언은 정말 도움이 되었어.
"Are you Swedish?" "No, I'm Swiss."	"스웨덴 사람이세요?" "아니요, 스위스 사람이예요."
A thousand meters is one kilometer.	1000 메터는 1 키로메터다
A wise leader knows when to listen.	지혜로운 리더는 언제 들어야 할지를 안다.
Come to my house whenever you like.	언제든지 우리 집에 와.
Do you still suffer from headaches?	아직도 두통에 시달리고 있어?
Have you ever been on a blind date?	소개팅 해본 적 있어?
Have you ever been on a helicopter?	헬리콥터 타본 적 있어?
Have you talked to the doctors yet?	아직 의사랑 말 안했어?
Haven't I met you somewhere before?	내가 널 어디선가 본 적 있지 않았어?
He has an air of mystery about him.	그 사람은 정체불명의 기운을 가지고 있어.
He hid himself behind a large rock.	그는 큰 바위 뒤에 숨었다.
He is the dumbest kid in the class.	그는 학급에서 가장 둔한 아이이다.
His behavior aroused my suspicions.	그의 행동은 나에게 의심을 불러일으켰다.
How deep do you think the water is?	이 물이 얼마나 깊다고 생각해?
How far is it to the train station?	기차역까지 얼마나 멀어?
How long are you going to be there?	얼마나 오래 거기 있을 거야?
How long do you plan to stay there?	거기서 얼마나 있을 예정이야?
How long will you be staying there?	거기서 얼마나 기다리고 있을 거야?
How many more hours will this take?	얼마나 더 많은 시간이 걸릴까?
How many more people do you expect?	얼마나 더 많은 사람을 예상하고 있어?
How much did these sunglasses cost?	이 선글라스 얼마였어?
I asked Tom not to do that anymore.	톰에게 더는 하지 말라고 부탁했다.
I assure you I'm in perfect health.	나 완전 건강하다니까.
I didn't think Tom would be scared.	톰이 겁먹을 것이라고는 생각 못했어.
I didn't think you were interested.	관심 있어할 줄은 몰랐어.
I don't know who started the rumor.	누가 소문을 내기 시작했는지 난 몰라.
I don't want Tom to move to Boston.	나는 톰이 보스턴으로 이사하는 것을 원하지 않아.
I had dinner with a total stranger.	생판 모르는 사람과 저녁을 먹었다.
I have attempted suicide two times.	나는 두 번 자살 시도를 했어.
I heard that Tom attempted suicide.	톰이 자살을 시도했다고 들었어.
I should've cooked the pork longer.	돼지고기를 더 구웠어야 했는데.
I think Tom went fishing with Mary.	톰은 메리랑 낚시하러 갔었던 것 같아.
I think that everything's fine now.	이제 별일은 없을 것 같아.
I think that that's hard to answer.	이건 대답하기 어려울 것 같아.
I think that we're still too young.	우린 아직 너무 어린 것 같아.
I think your hypothesis is correct.	네 가설이 맞는 것 같아.
I'd like to meet your older sister.	나 너네 언니 만나고 싶어
I'll call you when I get to Boston.	보스턴에 도착하면 전화할게요.
I'm glad that Tom is healthy again.	톰이 다시 건강해져서 다행이야.
I'm going to get there before dark.	난 어두워지기 전에 거기 가 있으려고 해.
I'm proud of Tom's accomplishments.	난 톰의 성과가 자랑스러워.
I'm way stronger than I used to be.	나는 예전의 나보다 훨씬 강해.
I've never actually seen a giraffe.	난 단 한번도 기린을 본 적이 없어.
Is nicotine as addictive as heroin?	니코틴이 헤로인만큼 중독성 있어?
Is there something you want to say?	뭔가 할 말이 있니?
Is there something you want to say?	뭐 할 말이라도 있냐고.
It can be hard to make new friends.	새로운 친구를 만드는 건 어려울 수 있다.
It's a ridiculous question, really.	참으로 어이없는 질문이네.
It's a ridiculous question, really.	참으로 황당한 질문이네.
It's not as difficult as you think.	그건 네가 생각하는 만큼 어려운 건 아냐.
It's not as difficult as you think.	그건 생각보단 어렵지 않아.
It's not as difficult as you think.	그건 생각보다 안 어려워.
Let's meet in front of the theater.	극장 앞에서 만납시다.
Look! There's a cat in the kitchen.	봐봐! 고양이가 부엌에 있어.
Mr. Jackson is our science teacher.	잭슨씨는 우리의 과학 선생님이야.
Nothing seems to grow in this soil.	이 흙에서는 아무것도 자라지 않는 것으로 보인다.
She returned a book to the library.	그는 책을 도서관에 반납했다.
The ice is thick enough to walk on.	얼음이 걸어도 될만큼 두꺼워.
The police believe Tom acted alone.	경찰은 톰이 혼자인 척 했다고 믿고 있어.
The price of oil is down this week.	기름 가격은 이번 주에 떨어졌다.
There's so much I don't understand.	내가 이해하지 못하는 것이 너무 많아
They speak to each other in French.	그 사람들은 서로 프랑스어로 말해.
This technique isn't easy to learn.	이 기술은 배우기 쉽지 않아.
Three people were slightly injured.	세 사람이 약간 다쳤다.
Tom began to sing "Happy Birthday."	Tom이 "Happy Birthday" 노래를 부르기 시작했다.
Tom didn't know Mary had a brother.	Tom은 Mary가 남동생이 있는 줄 몰랐어.
Tom didn't know Mary had a brother.	톰은 메리한테 남동생이 있는지 몰랐어.
Tom doesn't usually sing in French.	톰은 보통 프랑스어로 노래하진 않아.
Tom is a pretty good tennis player.	톰은 테니스 꽤 잘해.
Tom is a science teacher, isn't he?	톰은 과학 선생님이지?
Tom is going to be there, isn't he?	톰은 거기에 가 있을 거지?
Tom is having a hard time focusing.	톰은 집중하려고 애쓰고 있어.
Tom is having a hard time focusing.	톰은 집중하려고 애를 쓰고 있어.
Tom is having a hard time speaking.	톰은 말하는 데 어려움을 겪고 있어.
Tom is in his mid-to-late thirties.	톰은 삼십대 중반이야.
Tom is one of my favorite students.	톰은 내 애제자야.
Tom is short for his age, isn't he?	톰은 나이에 비해 키가 작지.
Tom is wearing a pair of old shoes.	톰은 낡은 신발을 신고 있어.
Tom prevented Mary from doing that.	톰은 메리가 그걸 못 하도록 막았어.
Tom said he was going to kiss Mary.	톰은 메리에게 키스할 것이라고 말했다.
Tom speaks French with his parents.	톰은 자기 부모님이랑 프랑스어로 말해.
Tom suffers from chronic back pain.	톰은 만성 요통에 시달리고 있어.
Tom thinks Mary is too old for him.	톰은 메리가 자신한테 있어서 너무 나이가 많다고 여기고 있어.
Tom usually drinks beer at parties.	톰은 보통 파티에서 맥주를 마셔.
Tom was swimming with us yesterday.	톰은 어제 우리랑 같이 수영했어.
Tom will explain this to you later.	톰이 나중에 너한테 설명할거야.
Tom's injuries aren't very serious.	톰 다친 곳은 그다지 심각하지 않네.
We can't predict how Tom will feel.	톰이 어떻게 느낄지 우린 예상할 수 없어.
We only speak French to each other.	우린 오직 프랑스어로만 이야기 해.
What do you think of Tom's new car?	톰의 새로운 자동차에 대해 어떻게 생각해?
What language do you speak at home?	집에서 무슨 언어로 말해?
When I got home, I was very hungry.	집에 도착했을 때, 나는 너무 배고팠어
Why are you so sure of his success?	왜 그의 성공을 그렇게 확신하고 있는 거지?
Why are you telling this to me now?	왜 이걸 지금 말해?
Would you pass me the salt, please?	소금 좀 건네줄래?
You might at least say "thank you."	적어도 "고마워"라고는 해줘야지.
You've got something in your teeth.	이빨에 뭔가 끼어있어.
Call us toll-free at 1-800-446-2581.	수신자부담전화 1-800-446-2581을 이용해주세요.
Disease is a threat to human beings.	질병은 인류에게 있어서 위협이야.
Do you still live where you used to?	너 아직도 전에 살았던 곳에 살아?
Don't try to talk. Save your energy.	말하려 하지마. 차라리 에너지를 아껴.
Have you ever been fired from a job?	너 직장에서 해고당한 적 있어?
Have you ever been inside this cave?	이 동굴 안에 들어가본 적 있어?
Have you ever been to Boston before?	보스턴에 가본 적 있어?
He came to London by way of Siberia.	그 사람은 시베리아를 거쳐서 런던에 왔어.
I assure you this is only temporary.	이건 단지 임시방편이라니까.
I caught a cold, and I have a fever.	감기에 걸려서 열이 나.
I didn't know Tom was a drug addict.	난 톰이 마약 중독자라는 걸 몰랐어.
I didn't know you loved Tom so much.	네가 톰을 그렇게 사랑할 줄은 몰랐어.
I don't really have a favorite song.	특별히 좋아하는 노래같은 건 딱히 없어.
I don't really want to learn French.	나는 프랑스어를 진짜 배우고 싶지 않아.
I don't want Tom giving Mary advice.	난 톰이 메리한테 조언을 안했으면 좋겠어.
I have many French-speaking friends.	저에게는 프랑스어를 말하는 많은 친구들이 있습니다.
I never should've come to Australia.	난 절대 호주에 오지 말았어야 했는데.
I regret that I did not work harder.	난 더 열심히 안 한 걸 후회하고 있어.
I should've done better on the test.	시험을 더 잘 봤어야 했는데.
I think that it's a beautiful place.	아름다운 곳인 것 같아.
I thought that I heard you coughing.	네가 기침한 소리를 들은 줄 알았어.
I thought that Tom didn't like cats.	난 톰이 고양이를 싫어하는 줄 알았어.
I wonder if Tom is still unemployed.	톰이 아직도 실업자인지 궁금해.
I work better alone than in a group.	나는 다같이 일하는 것보다 혼자 일하는 편이 더 좋아.
I'd like to reserve a table for two.	두 명 자리를 예약하고 싶어요.
I'm sorry that you had to hear that.	그걸 들어야 했다니 유감이야.
I'm sorry, but there's no other way.	미안하지만, 이거 말곤 다른 방법이 없어.
I've had enough of your shenanigans.	너의 속임수에 넌더리가 난다.
If I tell the truth, I'll be killed.	내가 만약 진실을 말하면 난 살해 당할 거야.
If Tom saw you doing that, he'd cry.	톰이 네가 이걸 하는 걸 본다면 울게 될 걸.
Ignorant people tend to be arrogant.	무지한 사람은 오만한 경향이 있어.
Is it true you had a fight with Tom?	톰이랑 싸웠다는 게 사실이야?
Is it true you had a fight with Tom?	너 톰이랑 싸운 거 맞아?
Is there bus service to the airport?	공항까지 가는 버스가 있나요?
It took me several hours to do that.	그걸 하려고 몇 시간이 걸렸어요.
Japan and South Korea are neighbors.	일본과 남한은 이웃 국가다.
Language changes as human beings do.	인간이 바뀌듯 언어도 변화해.
My birthday is one month from today.	내 생일은 오늘부터 한달 후야.
My daughter is only three years old.	내 딸은 3살일 뿐이야.
Please tell me when he arrives here.	그가 여기에 오면 저한테 말해주세요.
Robots are used to manufacture cars.	로봇은 자동차를 대량생산할 때 쓰여.
Seoul is the capital of South Korea.	서울은 남한의 도시다.
She suffers from low blood pressure.	그 사람은 저혈압에 시달리고 있어.
Slavery is a crime against humanity.	노예제도는 반인륜적인 범죄야.
Some children don't like vegetables.	일부 애들은 야채를 안좋아해.
The moon doesn't have an atmosphere.	달에는 공기가 없어.
There isn't going to be a next time.	다음은 없어.
This medicine will relieve the pain.	이 약은 통증을 줄여줄 거야.
Tom and I had French class together.	난 톰이랑 같이 프랑스 수업을 들었어.
Tom bought this horse at an auction.	톰은 이 말을 경매에서 샀어.
Tom didn't study for his final exam.	톰은 기말 시험 공부를 안했어.
Tom doesn't want to be disappointed.	톰은 실망하고싶지 않아해.
Tom finished the work in three days.	톰은 일을 3일 만에 끝냈어.
Tom has been rather busy these days.	톰은 요즘 들어 꽤 바빴다.
Tom is going to tell Mary he's busy.	톰은 자기가 바쁘다고 메리한테 말할 거야.
Tom is in his room most of the time.	톰은 거의 늘 자기방에만 있어.
Tom knew Mary was going to be there.	톰은 메리가 거기에 가 있을 거라는 걸 알고 있었어.
Tom said he spoke to Mary yesterday.	톰이 말하길 자기가 어제 마리한테 말을 걸었대.
Tom says he's almost ready to leave.	톰은 떠날 준비가 거의 다 됐대.
Tom says that his teachers hate him.	톰이 말하길 선생님이 자신을 싫어한대.
Tom wondered what Mary wanted to do.	톰이 메리가 뭘 원하는지 굼금해하더라.
We all thought that Tom had escaped.	우리는 다 톰이 탈출한 줄 알았다.
We make milk into cheese and butter.	우린 우유를 치즈와 버터로 만들어.
What's your favorite kind of cheese?	어떤 종류의 치즈를 가장 좋아해?
Why do I always get up at this time?	나는 왜 항상 이 시간에 일어날까?
You should try this. It's delicious.	너 이거 한번 맛봐야해. 이거 맛있거든.
You're the one who gave us all this.	우리에게 이 모든 걸 준 사람이 바로 당신이다.
Are you a dog person or a cat person?	너는 애견인이야 아님 애묘인이야?
Don't you guys have any self-respect?	너희는 자존심도 없어?
Food and water are extremely limited.	음식과 물이 극히 제한되어 있어.
Have you ever gone swimming with Tom?	톰이랑 한번이라도 수영하러 간 적 있어?
He's not going to visit you tomorrow.	그 사람은 내일 너를 보러 가지 않을 거야.
Human relationships are very complex.	인간 관계는 아주 복잡해.
I am very concerned about his health.	난 그 사람의 건강이 너무 걱정돼.
I can't believe Tom is a grandfather.	톰이 할아버지라니 믿을 수 없어.
I didn't think Tom knew how to drive.	난 톰이 운전하는 법을 안다는 걸 몰랐어.
I didn't think Tom knew how to drive.	톰이 운전하는 방법을 알고 있을 줄은 몰랐어.
I don't really have a favorite color.	특별히 좋아하는 색깔같은 건 딱히 없어.
I don't really have a favorite movie.	특별히 좋아하는 영화같은 건 딱히 없어.
I don't think Tom is able to do that.	난 톰이 저런걸 할 수 있으리라고 생각하지 않아.
I don't think that it's weird at all.	난 그게 전혀 이상하다고 생각 안 해.
I failed to go to his birthday party.	나는 그 사람의 생일 파티에 못 갔어.
I have a hard time remembering names.	나는 이름을 외우는 게 힘들어.
I made a really big sandwich for Tom.	난 톰을 위해서 아주 큰 샌드위치를 만들었어.
I should've checked Tom's references.	톰의 말을 확인했어야 했다.
I think I've made a horrible mistake.	내가 끔찍한 실수를 저지른 것 같아.
I think Mary is way cuter than Alice.	메리가 앨리스보다 좀 더 귀여운 것 같아.
I think that Tom has suffered enough.	톰은 충분히 고통받았다고 생각해.
